winsize,o,m,A,B,C,tau,raw_tau
5500.0,2.9160370984230126,0.2569398266802883,3.073615989934061,-0.006525776045635216,0.002599740822946061,23103.0,3.0
1100.0,3.666633812243253,3.473157440848933,3.183664407940806,6.478704479778868e-15,9.195252524392522e-15,19366.0,6.0
4400.0,3.0618034539834733,4.040008115478722,3.131706109513944,-9.937922328850952e-17,-8.453315517924483e-17,23322.0,2.0
1100.0,3.371177098924574,0.9137706014332312,3.2024635482051877,-7.165325256999365e-05,-9.650611606761049e-05,20242.0,2.0
2200.0,3.680819296780093,7.4906893767264,3.1796591306017437,-2.86744826620673e-30,2.7936811625412334e-30,21564.0,4.0
3300.0,3.422010003081281,0.31467199124576106,3.0776400900031575,-0.010494586820752784,-0.003430874480857977,22663.0,3.0
4400.0,3.3958633599377155,9.532825305112821,3.1685447954019894,-1.1349837448962128e-38,1.153939453398024e-38,24422.0,2.0
1100.0,3.645820134743453,2.157892382716642,3.2589705238208055,4.19494404109748e-09,3.0606699981969257e-09,21345.0,5.0
6600.0,3.2321367133939924,10.695477589952679,3.142559428144745,-4.27124378848139e-45,4.2997856030710424e-45,26842.0,2.0
5500.0,2.1998567143187895,5.333273525230913,3.1463787781335455,-7.944128334917556e-23,-8.165477057672129e-23,26183.0,3.0
5500.0,3.366461880506957,2.9577614302643274,3.186030920622108,-9.284171269980127e-14,1.4575624423367958e-13,27283.0,3.0
4400.0,2.6835072357492944,1.4595444103220192,3.1620940534761774,6.402339715034214e-07,-6.464323519332381e-07,28162.0,2.0
3300.0,3.4242970457351576,0.35558406433241097,3.017922120750454,-0.008996339291778779,-0.0031278242633799784,28382.0,2.0
1100.0,3.511768563877372,0.7523359216157104,3.332188121647032,-4.603088428188653e-05,-7.879401007917893e-06,27291.0,11.0
