Date,Open,High,Low,Close,Volume,OI
1975-11-05,90.34,90.34,90.34,90.34,73020,0
1975-11-06,90.08,90.08,90.08,90.08,107000,0
1975-11-07,89.96,89.96,89.96,89.96,169270,0
1975-11-10,89.83,89.83,89.83,89.83,173430,0
1975-11-11,89.61,89.61,89.61,89.61,125860,0
1975-11-12,89.42,89.42,89.42,89.42,160330,0
1975-11-13,89.56,89.56,89.56,89.56,142770,0
1975-11-14,89.56,89.56,89.56,89.56,867610,0
1975-11-17,89.68,89.68,89.68,89.68,60120,0
1975-11-18,89.68,89.68,89.68,89.68,15690,0
1975-11-19,89.35,89.35,89.35,89.35,26900,0
1975-11-20,89.47,89.47,89.47,89.47,88890,0
1975-11-21,89.47,89.47,89.47,89.47,88390,0
1975-11-24,89.47,89.47,89.47,89.47,94530,0
1975-11-25,89.07,89.07,89.07,89.07,91000,0
1975-11-26,89.07,89.07,89.07,89.07,440670,0
1975-11-27,89.07,89.07,89.07,89.07,47080,0
1975-11-28,89.07,89.07,89.07,89.07,10190,0
1975-12-01,89.07,89.07,89.07,89.07,47780,0
1975-12-02,88.99,88.99,88.99,88.99,71280,0
1975-12-03,88.99,88.99,88.99,88.99,158210,0
1975-12-04,88.98,88.98,88.98,88.98,225550,0
1975-12-08,88.08,88.08,88.08,88.08,83650,0
1975-12-09,87.47,87.47,87.47,87.47,226500,0
1975-12-11,86.86,86.86,86.86,86.86,158000,0
1975-12-12,86.78,86.78,86.78,86.78,48200,0
1975-12-15,86.78,86.78,86.78,86.78,66340,0
1975-12-16,86.62,86.62,86.62,86.62,27720,0
1975-12-17,86.64,86.64,86.64,86.64,70740,0
1975-12-18,85.91,85.91,85.91,85.91,199170,0
1975-12-19,85.91,85.91,85.91,85.91,292440,0
1975-12-22,85.19,85.19,85.19,85.19,92040,0
1975-12-23,84.11,84.11,84.11,84.11,258000,0
1975-12-24,84.11,84.11,84.11,84.11,318170,0
1975-12-26,84.69,84.69,84.69,84.69,297370,0
1975-12-29,84.45,84.45,84.45,84.45,117000,0
1975-12-30,84.07,84.07,84.07,84.07,90050,0
1976-01-02,83.95,83.95,83.95,83.95,59400,0
1976-01-05,82.97,82.97,82.97,82.97,133980,0
1976-01-06,82.97,82.97,82.97,82.97,196930,0
1976-01-07,83.09,83.09,83.09,83.09,783070,0
1976-01-08,82.85,82.85,82.85,82.85,256850,0
1976-01-09,83.25,83.25,83.25,83.25,105460,0
1976-01-12,83.01,83.01,83.01,83.01,105120,0
1976-01-13,81.92,81.92,81.92,81.92,127470,0
1976-01-14,82.28,82.28,82.28,82.28,79850,0
1976-01-15,82.28,82.28,82.28,82.28,70030,0
1976-01-16,82.28,82.28,82.28,82.28,8300,0
1976-01-19,82.75,82.75,82.75,82.75,65640,0
1976-01-20,82.64,82.64,82.64,82.64,243310,0
1976-01-21,83.01,83.01,83.01,83.01,92730,0
1976-01-22,83.01,83.01,83.01,83.01,94830,0
1976-01-23,82.29,82.29,82.29,82.29,122110,0
1976-01-26,82.63,82.63,82.63,82.63,37000,0
1976-01-27,82.65,82.65,82.65,82.65,238320,0
1976-01-28,82.31,82.31,82.31,82.31,77780,0
1976-01-29,82.55,82.55,82.55,82.55,63550,0
1976-02-02,82.55,82.55,82.55,82.55,24000,0
1976-02-03,82.54,82.54,82.54,82.54,66650,0
1976-02-04,82.62,82.62,82.62,82.62,35840,0
1976-02-05,82.1,82.1,82.1,82.1,32120,0
1976-02-06,82.14,82.14,82.14,82.14,83190,0
1976-02-09,82.36,82.36,82.36,82.36,69480,0
1976-02-10,82.48,82.48,82.48,82.48,33280,0
1976-02-11,82.36,82.36,82.36,82.36,93870,0
1976-02-12,81.52,81.52,81.52,81.52,50240,0
1976-02-13,81.42,81.42,81.42,81.42,74660,0
1976-02-17,79.94,79.94,79.94,79.94,105490,0
1976-02-18,80.33,80.33,80.33,80.33,579820,0
1976-02-19,80.43,80.43,80.43,80.43,43020,0
1976-02-20,80.85,80.85,80.85,80.85,128580,0
1976-02-23,81.21,81.21,81.21,81.21,185230,0
1976-02-24,81.59,81.59,81.59,81.59,60260,0
1976-02-25,81.62,81.62,81.62,81.62,65020,0
1976-02-26,81.36,81.36,81.36,81.36,60180,0
1976-02-27,80.9,80.9,80.9,80.9,604460,0
1976-03-01,80.72,80.72,80.72,80.72,180000,0
1976-03-02,81.09,81.09,81.09,81.09,948020,0
1976-03-03,81.0,81.0,81.0,81.0,781020,0
1976-03-04,81.26,81.26,81.26,81.26,79910,0
1976-03-05,81.5,81.5,81.5,81.5,347880,0
1976-03-08,81.5,81.5,81.5,81.5,599120,0
1976-03-09,79.18,79.18,79.18,79.18,140600,0
1976-03-10,78.91,78.91,78.91,78.91,130070,0
1976-03-11,79.18,79.18,79.18,79.18,139440,0
1976-03-12,78.41,78.41,78.41,78.41,64640,0
1976-03-15,78.04,78.04,78.04,78.04,93400,0
1976-03-16,76.73,76.73,76.73,76.73,183220,0
1976-03-17,76.43,76.43,76.43,76.43,185780,0
1976-03-18,76.57,76.57,76.57,76.57,126020,0
1976-03-19,77.03,77.03,77.03,77.03,109500,0
1976-03-22,77.06,77.06,77.06,77.06,70060,0
1976-03-23,77.15,77.15,77.15,77.15,27920,0
1976-03-24,77.15,77.15,77.15,77.15,37830,0
1976-03-25,77.16,77.16,77.16,77.16,19600,0
1976-03-26,77.13,77.13,77.13,77.13,40110,0
1976-03-29,77.19,77.19,77.19,77.19,69360,0
1976-03-30,77.22,77.22,77.22,77.22,81850,0
1976-03-31,77.57,77.57,77.57,77.57,30120,0
1976-04-01,77.44,77.44,77.44,77.44,91890,0
1976-04-02,78.14,78.14,78.14,78.14,103340,0
1976-04-05,79.15,79.15,79.15,79.15,127780,0
1976-04-07,80.44,80.44,80.44,80.44,304770,0
1976-04-08,80.95,80.95,80.95,80.95,190260,0
1976-04-09,82.68,82.68,82.68,82.68,295810,0
1976-04-12,82.48,82.48,82.48,82.48,879890,0
1976-04-14,81.89,81.89,81.89,81.89,189860,0
1976-04-15,81.49,81.49,81.49,81.49,171720,0
1976-04-16,81.95,81.95,81.95,81.95,205680,0
1976-04-19,82.33,82.33,82.33,82.33,344720,0
1976-04-20,82.66,82.66,82.66,82.66,135670,0
1976-04-21,82.3,82.3,82.3,82.3,205660,0
1976-04-22,81.75,81.75,81.75,81.75,177450,0
1976-04-23,80.8,80.8,80.8,80.8,432080,0
1976-04-26,81.24,81.24,81.24,81.24,74100,0
1976-04-27,80.91,80.91,80.91,80.91,104490,0
1976-04-28,80.52,80.52,80.52,80.52,42410,0
1976-04-29,80.88,80.88,80.88,80.88,114480,0
1976-04-30,80.7,80.7,80.7,80.7,64920,0
1976-05-04,81.07,81.07,81.07,81.07,87900,0
1976-05-06,80.35,80.35,80.35,80.35,57990,0
1976-05-07,80.12,80.12,80.12,80.12,141020,0
1976-05-10,80.32,80.32,80.32,80.32,374360,0
1976-05-11,80.17,80.17,80.17,80.17,323870,0
1976-05-12,80.17,80.17,80.17,80.17,52290,0
1976-05-14,79.89,79.89,79.89,79.89,62990,0
1976-05-17,79.92,79.92,79.92,79.92,91480,0
1976-05-18,79.96,79.96,79.96,79.96,74320,0
1976-05-19,79.21,79.21,79.21,79.21,181010,0
1976-05-20,78.42,78.42,78.42,78.42,194840,0
1976-05-21,78.77,78.77,78.77,78.77,105230,0
1976-05-24,78.86,78.86,78.86,78.86,176580,0
1976-05-25,78.41,78.41,78.41,78.41,152180,0
1976-05-26,78.39,78.39,78.39,78.39,68250,0
1976-05-27,78.39,78.39,78.39,78.39,33060,0
1976-05-28,78.33,78.33,78.33,78.33,155460,0
1976-05-31,78.12,78.12,78.12,78.12,172260,0
1976-06-01,77.86,77.86,77.86,77.86,223210,0
1976-06-02,79.69,79.69,79.69,79.69,211740,0
1976-06-03,77.82,77.82,77.82,77.82,274250,0
1976-06-04,78.1,78.1,78.1,78.1,490500,0
1976-06-07,78.1,78.1,78.1,78.1,82500,0
1976-06-08,78.33,78.33,78.33,78.33,655120,0
1976-06-09,78.66,78.66,78.66,78.66,527900,0
1976-06-10,78.92,78.92,78.92,78.92,140700,0
1976-06-11,79.04,79.04,79.04,79.04,95080,0
1976-06-14,78.54,78.54,78.54,78.54,159800,0
1976-06-15,78.15,78.15,78.15,78.15,228040,0
1976-06-16,78.16,78.16,78.16,78.16,84720,0
1976-06-17,78.27,78.27,78.27,78.27,146000,0
1976-06-18,78.66,78.66,78.66,78.66,679650,0
1976-06-21,78.94,78.94,78.94,78.94,94610,0
1976-06-22,78.94,78.94,78.94,78.94,93510,0
1976-06-23,78.95,78.95,78.95,78.95,125810,0
1976-06-24,78.68,78.68,78.68,78.68,132230,0
1976-06-25,78.1,78.1,78.1,78.1,258430,0
1976-06-28,77.74,77.74,77.74,77.74,114660,0
1976-06-29,77.71,77.71,77.71,77.71,191150,0
1976-06-30,77.63,77.63,77.63,77.63,186620,0
1976-07-02,77.37,77.37,77.37,77.37,35690,0
1976-07-05,77.62,77.62,77.62,77.62,34840,0
1976-07-06,77.61,77.61,77.61,77.61,82520,0
1976-07-07,77.57,77.57,77.57,77.57,73820,0
1976-07-08,77.68,77.68,77.68,77.68,173880,0
1976-07-09,78.05,78.05,78.05,78.05,216230,0
1976-07-13,77.69,77.69,77.69,77.69,93130,0
1976-07-14,77.51,77.51,77.51,77.51,112040,0
1976-07-15,77.55,77.55,77.55,77.55,120610,0
1976-07-16,77.43,77.43,77.43,77.43,288140,0
1976-07-19,77.72,77.72,77.72,77.72,87750,0
1976-07-20,77.71,77.71,77.71,77.71,97770,0
1976-07-21,78.32,78.32,78.32,78.32,327700,0
1976-07-22,78.58,78.58,78.58,78.58,586650,0
1976-07-23,79.64,79.64,79.64,79.64,516990,0
1976-07-26,79.91,79.91,79.91,79.91,578560,0
1976-07-27,79.64,79.64,79.64,79.64,219600,0
1976-07-28,79.6,79.6,79.6,79.6,301060,0
1976-07-29,79.16,79.16,79.16,79.16,191750,0
1976-07-30,78.38,78.38,78.38,78.38,295760,0
1976-08-02,78.92,78.92,78.92,78.92,136400,0
1976-08-03,79.2,79.2,79.2,79.2,164700,0
